,id,text,author_id,conversation_id,in_reply_to_user_id,context_annotations,lang,geo,source,entities,reply_settings,referenced_tweet_id,referenced_tweet_type,created_at,possibly_sensitive,public_metrics,attachments,referenced_tweet_text,next_token
0,1479157310794584066,Utah Hospital Association is addressing the Omicron surge. They are closing beds and stopping non-emergency surgeries. University hospital has seen a 400% increase in patients and 500 staff out sick. GET YOUR FREAKING VACCINE.,2789232896,1479157310794584066,,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '903303816698671104', 'name': 'Wellness and health', 'description': 'Wellness & Health'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '918538847302041600', 'name': 'Community Health', 'description': 'Community Health'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '920768310152593408', 'name': 'Common Medication', 'description': 'Common Medication'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",en,,Twitter Web App,"{'annotations': [{'start': 0, 'end': 24, 'probability': 0.9075, 'type': 'Organization', 'normalized_text': 'Utah Hospital Association'}, {'start': 44, 'end': 50, 'probability': 0.3977, 'type': 'Organization', 'normalized_text': 'Omicron'}]}",everyone,,,2022-01-06 18:25:58+00:00,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
1,1479157310266167296,"RT @marcelamvz: Si Fecode no quiere volver a la presencialidad no es por el ómicron, sino por la variante ""pereza"" y ""mediocridad"" que son…",344372373,1479157310266167296,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",es,,Twitter Web App,"{'mentions': [{'start': 3, 'end': 14, 'username': 'marcelamvz', 'id': '933256332'}], 'annotations': [{'start': 19, 'end': 24, 'probability': 0.6572, 'type': 'Person', 'normalized_text': 'Fecode'}]}",everyone,1478811126632755204,retweeted,2022-01-06 18:25:58+00:00,False,"{'retweet_count': 1948, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Si Fecode no quiere volver a la presencialidad no es por el ómicron, sino por la variante ""pereza"" y ""mediocridad"" que son letales para la educación...así de sencillo.",b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
2,1479157309402136578,RT @camilarz_: un síntoma del ómicron es el cansancio y yo estoy cansada desde hace como 4 años,1002320605,1479157309402136578,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",es,,Twitter for iPhone,"{'mentions': [{'start': 3, 'end': 13, 'username': 'camilarz_', 'id': '3237388374'}]}",everyone,1478819274244431873,retweeted,2022-01-06 18:25:58+00:00,False,"{'retweet_count': 19083, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,un síntoma del ómicron es el cansancio y yo estoy cansada desde hace como 4 años,b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
3,1479157309322321922,just thinking about how many maskless dining customers i’ve interacted with in the last month which have given me a bukkake of omicron strains and there’s probably a new variant forming inside of me right now,352143593,1479157309322321922,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",en,,Twitter for iPhone,,everyone,,,2022-01-06 18:25:58+00:00,False,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 55, 'quote_count': 0}",,,b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
4,1479157309142192134,"RT @Fruizgomez: Tal como habíamos anticipado, a enero 2 más del 60% del mapa genómico de COVID-19 en Colombia es dominado por ómicron. Esto…",1211821916954058753,1479157309142192134,,"[{'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1275802741810425857', 'name': 'Fernando Ruiz Gómez', 'description': 'Minister of Health'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",es,,Twitter Web App,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Fruizgomez', 'id': '1180935702'}], 'annotations': [{'start': 101, 'end': 108, 'probability': 0.9918, 'type': 'Place', 'normalized_text': 'Colombia'}]}",everyone,1478912100609183748,retweeted,2022-01-06 18:25:58+00:00,False,"{'retweet_count': 353, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Tal como habíamos anticipado, a enero 2 más del 60% del mapa genómico de COVID-19 en Colombia es dominado por ómicron. Esto implica adaptar lineamientos a características clínicas de la variante. ⁦⁦@MinSaludCol⁩ ⁦@infopresidencia⁩ https://t.co/JOJ7o6Si1u",b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
5,1479157309137989635,"RT @uchileradio: Tyra Grove Krause, directora del Instituto Serológico Estatal (SSI) de Dinamarca afirmó, basándose en un nuevo estudio de…",18274403,1479157309137989635,,[],es,,Twitter Web App,"{'mentions': [{'start': 3, 'end': 15, 'username': 'uchileradio', 'id': '78058372'}], 'annotations': [{'start': 17, 'end': 33, 'probability': 0.9474, 'type': 'Person', 'normalized_text': 'Tyra Grove Krause'}, {'start': 50, 'end': 77, 'probability': 0.7864, 'type': 'Organization', 'normalized_text': 'Instituto Serológico Estatal'}, {'start': 88, 'end': 96, 'probability': 0.5388, 'type': 'Place', 'normalized_text': 'Dinamarca'}]}",everyone,1479154547842904068,retweeted,2022-01-06 18:25:58+00:00,False,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Tyra Grove Krause, directora del Instituto Serológico Estatal (SSI) de Dinamarca afirmó, basándose en un nuevo estudio de esa entidad, que el flagelo del Covid19 podría comenzar a remitir a partir de la masiva presencia de la contagiosa variante ómicron.
https://t.co/uVQpIjj8lo",b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
6,1479157308940857349,"RT @JujuliaGrace: From the UK government website👇Deaths within 28 days of a positive COVID test have gone up 56.1% in 1 week🚨

Please do no…",457679710,1479157308940857349,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",en,,Twitter for Android,"{'mentions': [{'start': 3, 'end': 16, 'username': 'JujuliaGrace', 'id': '1315053256343719936'}], 'annotations': [{'start': 27, 'end': 28, 'probability': 0.8404, 'type': 'Place', 'normalized_text': 'UK'}]}",everyone,1479149711806406659,retweeted,2022-01-06 18:25:58+00:00,False,"{'retweet_count': 377, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"From the UK government website👇Deaths within 28 days of a positive COVID test have gone up 56.1% in 1 week🚨

Please do not absorb the myth that Omicron is mild for everyone. Please stay safe💙
👉 https://t.co/oAhwhZrMI5 https://t.co/06IKuKJBeh",b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
7,1479157308009553920,"RT @Get_Suriyafied: Finally it's Omicron Pongal! 😂

#EtharkkumThunindhavan #Beast #Valimai https://t.co/zqcnKkDde6",1268274256363663361,1479157308009553920,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",en,,Twitter for Android,"{'mentions': [{'start': 3, 'end': 18, 'username': 'Get_Suriyafied', 'id': '976668978683641856'}], 'hashtags': [{'start': 52, 'end': 74, 'tag': 'EtharkkumThunindhavan'}, {'start': 75, 'end': 81, 'tag': 'Beast'}, {'start': 82, 'end': 90, 'tag': 'Valimai'}], 'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/zqcnKkDde6', 'expanded_url': 'https://twitter.com/Get_Suriyafied/status/1479089855439130626/photo/1', 'display_url': 'pic.twitter.com/zqcnKkDde6'}]}",everyone,1479089855439130626,retweeted,2022-01-06 18:25:58+00:00,False,"{'retweet_count': 181, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'media_keys': ['3_1479089588291325955']},"Finally it's Omicron Pongal! 😂

#EtharkkumThunindhavan #Beast #Valimai https://t.co/zqcnKkDde6",b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
8,1479157305744707585,"RT @MLS_Dave: Omicron, days 5/6, no better.

Me: razor blade sore throat, fatigue, body aches, chills, night sweats.

Wife: fever &gt;102° off…",817232376757624832,1479157305744707585,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",en,,Twitter Web App,"{'mentions': [{'start': 3, 'end': 12, 'username': 'MLS_Dave', 'id': '631221668'}]}",following,1479155403791515652,retweeted,2022-01-06 18:25:57+00:00,False,"{'retweet_count': 3457, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Omicron, days 5/6, no better.

Me: razor blade sore throat, fatigue, body aches, chills, night sweats.

Wife: fever &gt;102° off &amp; on last 15 hrs, excruciating bone &amp; joint pain, fatigue, sore throat. 

We are middle aged &amp; healthy. Omicron is NOT ""mild"". I fear for the vulnerable.",b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
9,1479157305606246404,"DSÖ : Maalesef Omicron son varyant olmayacak, virüs ""evrim"" geçirmeye devam ediyor. 
#DenizBaysal
#BOGG
#VALORANT
iPhone
#Kazakistan
#SilivrideİşkenceVar
#SnYanıkMülakatsızAlım
#DevrimiDevirenAdam 
ataköy",1398969406823317506,1479157305606246404,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1460222701281312775', 'name': 'Deniz Baysal'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1460222701281312775', 'name': 'Deniz Baysal'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1234945774347112448', 'name': 'VALORANT'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",tr,,Twitter Web App,"{'hashtags': [{'start': 85, 'end': 97, 'tag': 'DenizBaysal'}, {'start': 98, 'end': 103, 'tag': 'BOGG'}, {'start': 104, 'end': 113, 'tag': 'VALORANT'}, {'start': 121, 'end': 132, 'tag': 'Kazakistan'}, {'start': 133, 'end': 153, 'tag': 'SilivrideİşkenceVar'}, {'start': 154, 'end': 176, 'tag': 'SnYanıkMülakatsızAlım'}, {'start': 177, 'end': 196, 'tag': 'DevrimiDevirenAdam'}]}",everyone,,,2022-01-06 18:25:57+00:00,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",,,b26v89c19zqg8o3fpe194imgeb857nlqaue9a8pq77u65
